sch_id,x,y,stunted,underweight
1001,39.5581,-4.28104,0.3148148,0.1428571
1002,39.5701,-4.29619,0.2222222,0.16
1003,39.5652,-4.28258,0.1132075,0.1818182
1004,39.5751,-4.27662,0.1794872,0.1875
1005,39.5772,-4.26922,0.1632653,0.1666667
1006,39.5559,-4.29679,0.1320755,0.2608696
1007,39.5461,-4.31353,0.125,0.1666667
1008,39.5437,-4.29804,0.0925926,0.44
1009,39.5324,-4.2926,0.26,0.2777778
1010,39.5132,-4.34068,0.1176471,0.1538462
1011,39.5473,-4.28018,0.25,0.7058824
1012,39.5245,-4.26286,0.1875,0.0588235
1013,39.5192,-4.30974,0.3695652,0.6363636
1014,39.48159,-4.3237,0.2941177,0.1904762
1015,39.4964,-4.30706,0.1395349,0.2857143
1016,39.5356,-4.35371,0.16,0.2962963
1017,39.5288,-4.36124,0.1111111,0.2
1018,39.5491,-4.35455,0.18,0.3
1019,39.5344,-4.34228,0.2244898,0.3529412
1020,39.5321,-4.37329,0.125,0.2380952
1021,39.4729,-4.37947,0.3111111,0.3333333
1022,39.5176,-4.3987,0.1956522,0.2
1023,39.5149,-4.28283,0.2325581,0.25
1024,39.5063,-4.42402,0.2166667,0.0869565
1025,39.5069,-4.35607,0.1836735,0.2857143
1026,39.5165,-4.3458,0.2857143,0.1818182
1027,39.4892,-4.36877,0.3541667,0.2
1028,39.1839,-4.50892,0.2777778,0.1764706
1029,39.1927,-4.47212,0.2083333,0.4545455
1030,39.1667,-4.49324,0.4883721,0.7222222
1031,39.1321,-4.48348,0.2745098,0.25
1032,39.2097,-4.48105,0.3125,0.0833333
1033,39.1777,-4.56452,0.375,0.2
1034,39.154,-4.53644,0.1428571,0.4
1035,39.2134,-4.539,0.26,0.2142857
1036,39.1787,-4.52569,0.3404255,0.5294118
1037,39.2068,-4.41478,0.375,0.5263158
1038,39.1818,-4.3979,0.1836735,0.1304348
1039,39.1935,-4.43758,0.2545455,0.25
1040,39.3149,-4.49923,0.28,0.25
1041,39.3836,-4.61764,0.25,0.2777778
1042,39.3666,-4.54641,0.28,0.375
1043,39.3082,-4.52566,0.2156863,0.4615385
1044,39.33937,-4.63583,0.3939394,0.375
1045,39.3494,-4.60205,0.2727273,0.3571429
1046,39.337,-4.50029,0.1923077,0.2857143
1047,39.3113,-4.44718,0.0192308,0.5789474
1048,39.2925,-4.47106,0.24,0.3043478
1049,39.3349,-4.4283,0.2444444,0.15
1050,39.3202,-4.47049,0.2121212,0.0714286
1051,39.3473,-4.47139,0.1875,0.2272727
1052,39.2138,-4.45092,0.26,0.125
1053,39.2472,-4.53239,0.5,0.0666667
1054,39.2838,-4.57025,0.2,0.1052632
1055,39.2924,-4.45349,0.1851852,0.0625
1056,39.2778,-4.51957,0.4807692,0.3333333
1057,39.2431,-4.49216,0.4038461,0.1666667
1058,39.2655,-4.45851,0.1590909,0.3157895
1059,39.2762,-4.40494,0.2,0.1538462
1060,39.2974,-4.43177,0.1,0.08
1061,39.2626,-4.43424,0.0652174,0.2
1062,39.3194,-4.40751,0.1836735,0.15
1063,39.3462,-4.41113,0.2978723,0.2777778
1064,39.4119,-4.47223,0.2307692,0.1428571
1065,39.3829,-4.43633,0.3265306,0.1904762
1066,39.3336,-4.39623,0.3333333,0.2857143
1067,39.3807,-4.46259,0.3673469,0.2857143
1068,39.4196,-4.40662,0.2,0.5714286
1069,39.3546,-4.39893,0.3061225,0.1851852
1070,39.3727,-4.41669,0.1395349,0.375
1071,39.4018,-4.42026,0.3137255,0.3157895
1072,39.4732,-4.46422,0.3333333,0.2727273
1073,39.4566,-4.49223,0.3255814,0.3125
1074,39.4592,-4.4734,0.4081633,0.2272727
1075,39.4774,-4.47892,0.2075472,0.2916667
1076,39.4572,-4.51007,0.0208333,0.1904762
1077,39.4851,-4.46781,0.3541667,0.2916667
1078,39.4103,-4.54799,0.3409091,0.5
1079,39.4298,-4.49814,0.08,0.16
1080,39.3978,-4.52407,0.2678571,0.2307692
1081,39.4173,-4.5281,0.1714286,0.1818182
1082,39.3122,-4.39595,0.3,0.3333333
1083,39.3018,-4.25758,0.4074074,0.1304348
1084,39.279,-4.35792,0.1875,0.0526316
1085,39.2993,-4.39188,0.1764706,0.173913
1086,39.2852,-4.25644,0.3636364,0.25
1087,39.2539,-4.25076,0.3454545,0.0833333
1088,39.2586,-4.30427,0.372549,0.3125
1089,39.2302,-4.37297,0.2083333,0.1818182
1090,39.4843,-4.29414,0.3818182,0.3571429
1091,39.3594,-4.35176,0.2291667,0.125
1092,39.3826,-4.32501,0.4117647,0.3181818
1093,39.4085,-4.33726,0.2285714,0.3888889
1094,39.3153,-4.35199,0.4901961,0.5454546
1095,39.3972,-4.34653,0.1923077,0.2692308
1096,39.3376,-4.33739,0.2765957,0.2608696
1097,39.4033,-4.37808,0.22,0.2272727
1098,39.3624,-4.37986,0.1333333,0.0833333
1099,39.455,-4.34149,0.244898,0.2727273
1100,39.4168,-4.35742,0.125,0.1875
1101,39.4308,-4.31551,0.1818182,0.3
